Название,Жанр,Режиссеры,Страны
?,"драматический фильм,[1]","[d],[1]",Индонезия
0-41*,"документальный,драма,комедия",Сенна Хегде,Индия
(Не)идеальные роботы,"комедия,фантастика,мелодрамма","Энтони Хайнс,Каспер Кристенсен",США
...а пятый всадник – Страх,,Збынек Брыных,Чехословакия
Чудотворец из Бирюлёва,игровое кино,Борис Эпштейн,СССР
…и передайте привет ласточкам,,Яромил Йиреш,Чехословакия
«SOS» над тайгой,"драма,приключения",Аркадий Кольцатый,СССР
1,документальный,Пол Краудер,США
4 американских композитора,"документальный,музыкальный",Питер Гринуэй,Великобритания
51,"фантастика,фильм ужасов",Джейсон Коннери,США
55,документальный фильм,Никита Михалков,Россия
50 таблеток,Драма,Тео Эвгерино,США
3 ночи в пустыне,драма,Гэбриэль Коуэн,США
55 дней в Пекине,"драма,исторический,военный",Николас Рэй,США
3 идиота,"комедия,драма",Раджкумар Хирани,Индия
Четыре,драма,Илья Хржановский,"Россия,Нидерланды"
3: История Дейла Эрнхардта,"биографическая,спортивная,драма",Рассел Малкэхи,США
50 оттенков голубого,драма,,Новая Зеландия
50 первых поцелуев,романтическая комедия,Питер Сигал,США
49 дней,"драма,приключения",Генрих Габай,СССР
47 ронинов,"фэнтези,боевик,драма",,"США,Япония"
45-й калибр,драма,Гари Леннон,США
45 лет,драма,Эндрю Хэйг,Великобритания
44 минуты: Бойня в северном Голливуде,,,
42-я улица,"комедия,мюзикл,мелодрама","Ллойд Бэкон,Басби Беркли",США
42 / Номер 42,"драма,спортивный фильм",Брайан Хелгеленд,"США,[2],[3]"
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан
40 дней и 40 ночей,кинокомедия,Майкл Леманн,США
40,"детектив,триллер",Александр Галибин,Россия
39-я бригада,,Карой Макк,Венгрия
38-я параллель,"драма,боевик,военный",Кан Джегю,Республика Корея
36 безумных кулаков,"боевик,комедия,драма",Чэнь Чжихуа,Гонконг
34-й скорый,Фильм-катастрофа,Андрей Малюков,СССР
33,драма,,"США,Чили,Колумбия"
,"драма,мелодрама",Дени Вильнёв,Канада
32 декабря,"комедия,фантастика",Александр Муратов,Россия
31-й километр,"ужасы,мистика",Ригоберто Кастаньеда,"Мексика,Испания"
31 июня,"музыкальный фильм,мюзикл,фэнтези",Леонид Квинихидзе,СССР
31,Фильм ужасов,Роб Зомби,США
30 Rock: A XXX Parody,порнофильм,,США
30 свиданий,"комедия,мелодрама",Татьяна Капитан,Россия
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,"комедийный,фильм ужасов",Крэйг Мосс,США
30 дней ночи: Тёмные времена,"триллер,фильм ужасов",Бен Кетай,США
